location,bedroom number,bathroom number,size,rent price
"Baitul Aman Housing, Mohammadpur",3,3,1300 sqft,"৳20,000"
"Sector 6, Uttara",3,3,2450 sqft,"৳50,000"
"Block K, Baridhara",3,3,1700 sqft,"৳80,000"
"Sector 10, Uttara",3,4,1380 sqft,"৳25,000"
"Kallyanpur, Mirpur",4,3,1400 sqft,"৳20,000"
"Gulshan 2, Gulshan",4,4,3200 sqft,"৳200,000"
"Babar Road, Mohammadpur",3,4,2200 sqft,"৳30,500"
"New Eskaton, Eskaton",3,4,1900 sqft,"৳50,000"
"Tajmahal Road, Mohammadpur",2,2,850 sqft,"৳20,000"
"Peer Saheber Goli, Shantinagar",3,3,1465 sqft,"৳30,000"
"Block D, Bashundhara R-A",4,4,2580 sqft,"৳45,000"
"Darussalam, Mirpur",3,3,1600 sqft,"৳25,000"
"West Rampura, Rampura",2,2,900 sqft,"৳25,000"
"West Dhanmondi, Dhanmondi",2,3,1000 sqft,"৳30,000"
"Block K, Baridhara",3,3,2800 sqft,"৳360,000"
"Block K, Baridhara",4,4,4000 sqft,"৳420,000"
"Mohammadi Housing LTD., Mohammadpur",2,3,1145 sqft,"৳20,000"
"Gulshan 2, Gulshan",4,4,3750 sqft,"৳300,000"
"Gulshan 2, Gulshan",4,4,3750 sqft,"৳300,000"
"Nobodoy Housing Society, Mohammadpur",3,3,1250 sqft,"৳22,000"
"Gulshan 2, Gulshan",4,4,3850 sqft,"৳320,000"
"Baitul Aman Housing Society, Adabor",3,3,1200 sqft,"৳20,000"
"Block G, Bashundhara R-A",3,3,1530 sqft,"৳27,000"
"PC Culture Housing, Mohammadpur",3,2,900 sqft,"৳20,000"
"Road No 10, Baridhara",4,4,3000 sqft,"৳140,000"
"Nurjahan Road, Mohammadpur",2,2,700 sqft,"৳21,000"
"Block K, Baridhara",4,5,2800 sqft,"৳120,000"
"West Dhanmondi, Dhanmondi",3,3,1600 sqft,"৳50,000"
"Gulshan 2, Gulshan",3,3,2300 sqft,"৳130,000"
"Block A, Bashundhara R-A",3,4,1887 sqft,"৳38,000"
"Pirerbag, Mirpur",3,3,1300 sqft,"৳25,000"
"Kallyanpur, Mirpur",3,3,1250 sqft,"৳20,000"
"Baitul Aman Housing, Mohammadpur",3,3,1250 sqft,"৳20,000"
"Sector 14, Uttara",3,3,1500 sqft,"৳50,000"
"Sector 3, Uttara",3,3,1950 sqft,"৳150,000"
"Block K, Baridhara",3,3,3200 sqft,"৳110,000"
"Block G, Bashundhara R-A",3,4,1800 sqft,"৳60,000"
"Block E, Aftab Nagar",3,3,1450 sqft,"৳26,000"
"Sector 3, Uttara",3,3,1500 sqft,"৳35,000"
"Block F, Lalmatia",3,3,1600 sqft,"৳45,000"
"Block C, Bashundhara R-A",3,3,1215 sqft,"৳25,000"
"Sector 5, Uttara",3,4,2543 sqft,"৳70,000"
"Baitul Aman Housing Society, Adabor",3,3,1250 sqft,"৳20,000"
"Mansurabad Housing Society, Adabor",3,3,1500 sqft,"৳25,000"
"Sector 6, Uttara",3,3,2200 sqft,"৳65,000"
"Baitul Aman Housing Society, Adabor",3,3,1442 sqft,"৳25,000"
"Lake Circus Road, Kalabagan",3,3,1600 sqft,"৳40,000"
"1st Colony, Mirpur",3,3,1096 sqft,"৳20,000"
"Block E, Lalmatia",3,3,1400 sqft,"৳40,000"
"Block K, Baridhara",3,4,3000 sqft,"৳150,000"
"Section 1, Mirpur",4,4,1750 sqft,"৳28,000"
"Gulshan 1, Gulshan",4,4,3500 sqft,"৳180,000"
"Gulshan 2, Gulshan",5,5,5500 sqft,"৳290,000"
"Block E, Banasree",3,3,1400 sqft,"৳30,000"
"South Banasree Project, Banasree",4,3,2200 sqft,"৳30,000"
"Gulshan 2, Gulshan",4,4,5000 sqft,"৳420,000"
"Block K, Bashundhara R-A",3,3,1450 sqft,"৳26,000"
"South Banasree Project, Banasree",4,3,2200 sqft,"৳31,000"
"Block D, Bashundhara R-A",4,4,2100 sqft,"৳45,000"
"Gulshan 2, Gulshan",4,4,2700 sqft,"৳150,000"
"Gulshan 1, Gulshan",4,4,4300 sqft,"৳220,000"
"Gulshan 1, Gulshan",4,4,4300 sqft,"৳220,000"
"Gulshan 1, Gulshan",4,4,4300 sqft,"৳220,000"
"Gulshan 1, Gulshan",4,5,4300 sqft,"৳220,000"
"Gulshan 1, Gulshan",4,4,4300 sqft,"৳220,000"
"Gulshan 1, Gulshan",4,5,4300 sqft,"৳220,000"
"Road No 2, Banani DOHS",5,5,4200 sqft,"৳320,000"
"Humayun Road, Mohammadpur",3,4,1400 sqft,"৳32,000"
"Gulshan 2, Gulshan",4,4,5200 sqft,"৳310,000"
"Baitul Aman Housing Society, Adabor",3,3,1360 sqft,"৳25,000"
"Ring Road, Shyamoli",3,3,1700 sqft,"৳35,000"
"Ring Road, Shyamoli",3,3,1700 sqft,"৳35,000"
"Road No 2, Shyamoli",3,4,1180 sqft,"৳22,000"
"New Eskaton Road, Eskaton",3,3,1525 sqft,"৳40,000"
"Dolphin Goli Road, Kalabagan",3,3,1500 sqft,"৳45,000"
"Lake Circus Road, Kalabagan",5,5,3000 sqft,"৳80,000"
"PC Culture Housing, Mohammadpur",3,3,1450 sqft,"৳22,000"
"Humayun Road, Mohammadpur",3,2,1200 sqft,"৳20,000"
"Tajmahal Road, Mohammadpur",3,3,1350 sqft,"৳40,000"
